"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2024-02-20T12:39:53.000Z","image","I spent 15 hours yesterday visiting Walmarts/Targets and seeing if they had inventory in the back and helping them put it out. 

This store was doing 0 sales and when I visited it had 0 product on shelf. I found these in the backroom and had them scan them in/I placed them on the…","","https://pbs.twimg.com/media/GGx-pamWAAAfSi4?format=jpg&name=small","10K","650","1.2K"
"2024-02-20T05:00:51.000Z","text","WHAT ARE THE ODDS I READ THIS TWEET AT EXACTLY MIDNIGHT AND NOW I CANT TWEET ABOUT IT BECAUSE ITS NO LONGER THE CHANNEL’S BIRTHDAY AS OF 30 SECONDS AGO LOL","","","30K","660","827"
"2024-02-19T06:01:45.000Z","text","❤️","","","2.5K","110","322"
"2024-02-19T03:54:27.000Z","text","I had like a million bars set aside for the website so people could try it but I had to ship them to stores to fill demand","","","1.4K","75","185"
"2024-02-19T03:47:30.000Z","text","I’m seeing this a lot, doing everything I can to restock stores with the new Feastables bar, only so many I can put on a shelf 😅❤️ ","","","33K","1.9K","4.4K"
"","text","","","","","",""
"2024-02-19T03:40:09.000Z","text","I failed 😔

Will fix asap 🫡","","","1.5K","52","137"
"2024-02-17T22:09:25.000Z","text","This is the biggest announcement of my entire life, let me know what you think","","","165K","13K","11K"
"2024-02-17T01:04:29.000Z","text","🔥","","","3.2K","92","264"
"2024-02-17T00:00:00.000Z","text","I found 100 people ages 1 thru 100 and trapped them in cubes. Then they competed in mental/physical challenges for $500,000 to see which age is the best :D","","","185K","19K","9.7K"
"2024-02-16T21:19:44.000Z","text","I’d recommend this one!","","","25K","440","455"
"2024-02-16T21:14:07.000Z","text","I recommend you watch this one!","","","8K","335","445"
"2024-02-16T01:56:00.000Z","text","Yeah, I like to think of it like my videos. Took me a long time to perfect making them good and I’m on the same journey with snacks! I personally put 1,000+ hours into this new bar, took a while but I’m incredibly happy with how it turned out 🥰","","","5.3K","206","504"
"2024-02-15T19:34:52.000Z","text","Hmmm, a monkey playing chess in a park.","","","3.1K","108","199"
"2024-02-15T18:20:55.000Z","text","Sam plz don’t make me homeless","","","10K","486","493"
"2024-02-15T00:49:07.000Z","text","❤️","","","534","46","113"
"2024-02-11T15:59:51.000Z","text","If you watch the video we gave everyone that adopted one $20k","","","2.4K","126","736"
"2024-02-11T05:31:54.000Z","text","I was thinking, if you get that 7 trillion dollars you could give me like .01% of that and it’d fund my videos for a long time. Thx for considering","","","9.3K","385","839"
"2024-02-10T22:45:31.000Z","text","lol","","","8.6K","164","330"
"2024-02-10T17:01:14.000Z","text","If you don’t watch my new YouTube video right now I’ll be very sad","","","82K","5.6K","12K"
"2024-02-10T04:08:52.000Z","text","🥰","","","5K","281","504"
"2024-02-07T21:56:52.000Z","text","😮","","","2.5K","148","394"
"2024-02-07T04:15:01.000Z","text","Redbull one was good","","","1.5K","133","457"
"2024-02-07T02:41:48.000Z","text","In the last 3 years YouTube has shared over 70 Billion dollars of ad revenue with people who upload on their platform 🤯

This has changed mine and millions of other’s lives. Such a beautiful stat","","","130K","8.6K","7.5K"
"2024-02-06T13:39:29.000Z","text","We gave everyone who adopted one $20k haha","","","12K","474","1.2K"
"2024-02-03T14:13:54.000Z","text","Interesting, now I want to try it next time I lift","","","5.5K","239","532"
"2024-02-02T23:41:46.000Z","video","We found 100 stranded/abandoned dogs and spent over $1,000,000 to find them loving homes! This is one of my favorite videos so I hope you consider adopting a dog :)","","https://pbs.twimg.com/media/GFXgcIcWYAAgl9C.jpg","366K","40K","15K"
"2024-02-02T12:51:44.000Z","image","I should have helped myself in this video 💀","","https://pbs.twimg.com/media/GFVUvuMWIAAtVzX?format=jpg&name=small","49K","1.9K","1.7K"
"2024-02-02T12:41:05.000Z","text","This might sound crazy, but I thought things far away looking super blurry was normal lol. I got my eyes checked and apparently have a bad stigmatism. Started wearing contacts recently and wow. My eyesight is 3x better and i dont squint/can actually open my eyes normally 😅🥰","","","118K","5.7K","7.4K"
"2024-01-28T08:36:39.000Z","text","Is the food good?","","","47K","908","1.7K"
"2024-01-27T17:03:32.000Z","text","We uploaded on YouTube! Watch or I’ll cry","","","118K","9K","13K"
"2024-01-27T10:34:01.000Z","text","You make it look so easy, it’s crazy","","","20K","922","1.1K"
